classifier,ulevel,dataset,distance,cmp,acc,train_duration,test_duration
GNB,0.1,ItalyPowerDemand,jsd,simple_cmp,0.749271137026239,647.34,548.18
GNB,0.1,SonyAIBORobotSurface2,jsd,simple_cmp,0.6873032528856243,10788.74,954.07
GNB,0.1,SonyAIBORobotSurface1,jsd,simple_cmp,0.7803660565723793,637.44,10775.48
GNB,0.1,Plane,jsd,simple_cmp,0.2571428571428571,10674.61,43.59
GNB,0.1,Trace,jsd,simple_cmp,0.3,10578.1,50.36
GNB,0.1,SmoothSubspace,jsd,simple_cmp,0.4533333333333333,10489.17,32.35
GNB,0.1,BME,jsd,simple_cmp,0.4466666666666666,10454.13,386.45
GNB,0.1,CBF,jsd,simple_cmp,0.5744444444444444,10452.81,1383.05
GNB,0.1,UMD,jsd,simple_cmp,0.4444444444444444,675.91,301.79
GNB,0.1,SyntheticControl,jsd,simple_cmp,0.37,623.67,25.96
GNB,0.1,ShapeletSim,jsd,simple_cmp,0.4444444444444444,691.27,690.68
GNB,0.1,Chinatown,jsd,simple_cmp,0.9096209912536444,606.69,99.27
GNB,0.4,ECG200,ued,simple_cmp,0.81,626.7,24.71
GNB,0.4,TwoLeadECG,ued,simple_cmp,0.7383669885864794,634.67,1229.11
GNB,0.4,ECGFiveDays,ued,simple_cmp,0.883855981416957,657.88,1619.99
GNB,0.4,ItalyPowerDemand,ued,simple_cmp,0.9183673469387756,625.97,423.37
GNB,0.4,SonyAIBORobotSurface2,ued,simple_cmp,0.8090241343126967,627.0,591.79
GNB,0.4,SonyAIBORobotSurface1,ued,simple_cmp,0.8851913477537438,622.17,464.76
GNB,0.4,Plane,ued,simple_cmp,0.8476190476190476,628.06,30.29
GNB,0.4,Trace,ued,simple_cmp,0.7,608.31,43.05
GNB,0.4,SmoothSubspace,ued,simple_cmp,0.4933333333333333,622.18,17.85
GNB,0.4,BME,ued,simple_cmp,0.6,657.33,261.11
GNB,0.4,CBF,ued,simple_cmp,0.84,684.34,1268.53
GNB,0.4,UMD,ued,simple_cmp,0.8680555555555556,651.75,206.2
GNB,0.4,SyntheticControl,ued,simple_cmp,0.7933333333333333,622.13,26.27
GNB,0.4,ShapeletSim,ued,simple_cmp,0.8222222222222222,663.6,429.36
GNB,0.4,Chinatown,ued,simple_cmp,0.9708454810495628,605.68,50.13
GNB,0.4,ECG200,ued,cdf_cmp,0.8,607.57,24.38
GNB,0.4,TwoLeadECG,ued,cdf_cmp,0.7480245829675154,670.07,1966.69
GNB,0.4,ECGFiveDays,ued,cdf_cmp,0.7723577235772358,659.04,1570.68
GNB,0.4,ItalyPowerDemand,ued,cdf_cmp,0.9067055393586004,612.16,219.98
GNB,0.4,SonyAIBORobotSurface2,ued,cdf_cmp,0.776495278069255,647.31,933.89
GNB,0.4,SonyAIBORobotSurface1,ued,cdf_cmp,0.8968386023294509,632.29,729.18
GNB,0.4,Plane,ued,cdf_cmp,0.6571428571428571,605.63,19.85
GNB,0.4,Trace,ued,cdf_cmp,0.76,644.38,71.73
